,route number,start location (GPS),end location (GPS),accessmap recommended path,distance by AccessMap,minor issue,severe issue,time distribution (a delimited list of all the times),mean time,std dev time,median time,skewness time,kurtosis time
0,1,"47.1667,-122.517","47.1653,-122.512",0,0,0,0,[3398],3398,0,3398,0,-3
1,2,"47.1667,-122.517","47.1654,-122.513",0,0,0,0,"[3141, 3162, 2255]",2852.666667,422.7011027,3141,-0.705798071,-1.5
2,3,"47.1667,-122.517","47.1654,-122.513",0,0,0,0,"[3437, 3236]",3336.5,100.5,3336.5,0,-2
3,4,"47.1667,-122.517","47.1654,-122.513",0,0,0,0,[4951],4951,0,4951,0,-3
4,5,"47.1667,-122.517","47.1656,-122.513",0,0,0,0,"[383, 387, 472, 382, 191]",363,92.52242971,383,-0.950656091,-0.224380201
5,6,"47.1667,-122.52","47.1667,-122.52",0,0,0,0,"[949, 957, 3047, 3165, 1183, 552, 924, 1040, 982, 765, 724, 1192, 1143, 1289, 587, 900, 1131, 1178, 1278, 560, 283, 1226, 456, 1330, 1231, 1073, 1105, 661, 758, 1296, 1255, 1235, 1324, 1311, 1418, 1435, 1891, 1439, 1209, 636, 178, 679, 979, 634, 1195, 1103, 980, 1139, 1062, 1173, 901, 977, 1009, 459, 1094, 1103, 1160, 966, 1372, 3029, 899, 1133, 1037, 1090, 2195, 1432, 1828, 398, 360, 141, 302]",1100.352113,560.2469551,1094,1.663740167,4.478559966
6,7,"47.1667,-122.52","47.1654,-122.513",0,0,0,0,"[869, 1003, 792, 260, 307, 278, 256, 247, 259, 432]",470.3,282.1340284,292.5,0.87543081,-0.993565323
7,8,"47.1667,-122.52","47.1654,-122.513",0,0,0,0,"[689, 217, 214]",373.3333333,223.2134006,217,0.707010986,-1.5
8,9,"47.1557,-122.456","47.1554,-122.455",0,0,0,0,"[615, 620, 600, 718, 541, 426, 722, 598, 795, 644, 719, 772, 807, 660, 818, 580, 619, 950, 603, 774]",679.05,116.0691496,652,0.194442708,0.056385531
9,10,"47.2555,-122.514","47.256,-122.516",0,0,0,0,"[420, 1612, 559, 546, 614, 1246, 897, 780, 904, 617, 144, 3522, 545, 1081, 190, 203, 590, 149, 562, 409, 265, 508, 66, 316, 519, 449, 926, 1761, 448, 441, 633, 198, 1521, 337, 1275]",721.5142857,638.6790104,546,2.545119021,8.104425329
